ID	Location
AR0001.1	In Copenhagen
AR0003.1	In Copenhagen
AR0005.1	In Copenhagen
AR0007.1	In Copenhagen
AR0009.1	In Copenhagen
AR0015.1	In Copenhagen
AR0016.1	In Copenhagen
AR0017.1	In Copenhagen
AR0018.1	In Copenhagen
AR0019.1	In Copenhagen
AR0020.1	In Copenhagen
AR0021.1	In Copenhagen
AR0022.1	In Copenhagen
AR0023.1	In Copenhagen
AR0024.1	In Copenhagen
AR0025.1	In Copenhagen
AR0026.1	In Copenhagen
AR0027.1	In Copenhagen
AR0028.1	In Copenhagen
AR0029.1	In Copenhagen
AR0030.1	In Copenhagen
AR0031.1	In Copenhagen
AR0032.1	In Copenhagen
AR0033.1	In Copenhagen
AR0034.1	In Copenhagen
AR0035.1	In Copenhagen
AR0039.1	In Copenhagen
AR0040.1	In Copenhagen
AR0041.1	In Copenhagen
AR0042.1	In Copenhagen
AR0043.1	In Copenhagen
AR0044.1	In Copenhagen
AR0047.1	In Copenhagen
AR0048.1	In Copenhagen
AR0050.1	In Copenhagen
AR0051.1	In Copenhagen
AR0067.1	In Copenhagen
AR0071.1	In Copenhagen
AR0077.1	In Copenhagen
AR0143.1	In Copenhagen
AR0145.1	In Copenhagen
AR0147.1	In Copenhagen
AR0148.1	In Copenhagen
AR0156.1	In Copenhagen
AR0157.1	In Copenhagen
AR0159.1	In Copenhagen
AR0160.1	In Copenhagen
AR0161.1	In Copenhagen
AR0162.1	In Copenhagen
AR0166.1	In Copenhagen
AR0167.1	In Copenhagen
AR0169.1	In Copenhagen
AR0171.1	In Copenhagen
AR0178.1	In Copenhagen
AR0180.1	In Copenhagen
AR0181.1	In Copenhagen
AR0182.1	In Copenhagen
AR0183.1	In Copenhagen
AR0184.1	In Copenhagen
AR0185.1	In Copenhagen
AR0186.1	In Copenhagen
AR0187.1	In Copenhagen
AR0195.1	In Copenhagen
AR0198.1	In Copenhagen
AR0199.1	In Copenhagen
AR0200.1	In Copenhagen
AR0202.1	In Copenhagen
AR0204.1	In Copenhagen
AR0213.1	In Copenhagen
AR0224.1	In Copenhagen
AR0233.1	In Copenhagen
AR0236.1	In Copenhagen
AR0245.2	In Copenhagen
AR0248.2	In Copenhagen
AR0251.2	In Copenhagen
AR0255.2	In Copenhagen
AR0256.1	In Copenhagen
AR0278.1	In Copenhagen
AR0279.1	In Copenhagen
AR0282.1	In Copenhagen
AR0283.2	In Copenhagen
AR0285.1	In Copenhagen
AR0286.1	In Copenhagen
AR0287.1	In Copenhagen
AR0289.1	In Copenhagen
AR0289.2	In Copenhagen
AR0290.1	In Copenhagen
AR0291.2	In Copenhagen
AR0292.1	In Copenhagen
AR0293.1	In Copenhagen
AR0297.1	In Copenhagen
AR0308.2	In Copenhagen
AR0309.1	In Copenhagen
AR0310.1	In Copenhagen
AR0311.1	In Copenhagen
AR0312.2	In Copenhagen
AR0314.2	In Copenhagen
AR0316.1	In Copenhagen
AR0317.1	In Copenhagen
AR0318.2	In Copenhagen
AR0320.1	In Copenhagen
AR0322.2	In Copenhagen
AR0323.2	In Copenhagen
AR0325.1	In Copenhagen
AR0326.1	In Copenhagen
AR0329.1	In Copenhagen
AR0330.1	In Copenhagen
AR0331.1	In Copenhagen
AR0333.1	In Copenhagen
AR0334.2	In Copenhagen
AR0336.1	In Copenhagen
AR0337.1	In Copenhagen
AR0341.2	In Copenhagen
AR0342.2	In Copenhagen
AR0345.1	In Copenhagen
AR0346.1	In Copenhagen
AR0347.1	In Copenhagen
AR0348.1	In Copenhagen
AR0349.2	In Copenhagen
AR0350.1	In Copenhagen
AR0351.1	In Copenhagen
AR0352.1	In Copenhagen
AR0353.1	In Copenhagen
AR0354.1	In Copenhagen
AR0355.1	In Copenhagen
