ID	Location
AR0681.2	In Tartu
AR0696.1	In Tartu
AR0309.2	In Tartu
AR0284.2	In Tartu
AR0301.2	In Tartu
AR0316.2	In Tartu
AR0313.2	In Tartu
AR0288.1	In Tartu
AR0449.2	In Tartu
AR0462.1	In Tartu
AR0307.1	In Tartu
AR0464.1	In Tartu
AR0465.1	In Tartu
AR0299.2	In Tartu
AR0623.2	In Tartu
AR0340.2	In Tartu
AR0686.2	In Tartu
AR0561.1	In Tartu
AR0614.2	In Tartu
AR0546.2	In Tartu
AR0332.1	In Tartu
AR0343.1	In Tartu
AR0533.2	In Tartu
AR0530.2	In Tartu
AR0622.2	In Tartu
AR0337.2	In Tartu
AR0535.2	In Tartu
AR0564.1	In Tartu
AR0544.2	In Tartu
AR0550.2	In Tartu
AR0541.2	In Tartu
AR0628.2	In Tartu
AR0324.1	In Tartu
AR0593.2	In Tartu
AR0540.2	In Tartu
AR0693.1	In Tartu
AR0531.2	In Tartu
AR0010.1	In Tartu
AR0154.1	In Tartu
AR0176.1	In Tartu
AR0168.1	In Tartu
AR0498.1	In Tartu
AR0453.2	In Tartu
AR0463.1	In Tartu
AR0466.1	In Tartu
AR0452.3	In Tartu
AR0457.1	In Tartu
AR0428.2	In Tartu
AR0467.1	In Tartu
AR0429.2	In Tartu
AR0456.2	In Tartu
