ID	Location
AR0146.1	In Copenhagen
AR0149.1	In Copenhagen
AR0150.1	In Copenhagen
AR0151.1	In Copenhagen
AR0152.1	In Copenhagen
AR0153.1	In Copenhagen
AR0158.1	In Copenhagen
AR0163.1	In Copenhagen
AR0164.1	In Copenhagen
AR0165.1	In Copenhagen
AR0170.1	In Copenhagen
AR0172.1	In Copenhagen
AR0173.1	In Copenhagen
AR0188.1	In Copenhagen
AR0189.1	In Copenhagen
AR0190.1	In Copenhagen
AR0191.1	In Copenhagen
AR0192.1	In Copenhagen
AR0193.1	In Copenhagen
AR0194.1	In Copenhagen
AR0196.1	In Copenhagen
AR0197.1	In Copenhagen
AR0201.1	In Copenhagen
AR0203.1	In Copenhagen
AR0205.1	In Copenhagen
AR0206.1	In Copenhagen
AR0207.1	In Copenhagen
AR0208.1	In Copenhagen
AR0209.1	In Copenhagen
AR0210.1	In Copenhagen
AR0211.1	In Copenhagen
AR0212.1	In Copenhagen
AR0214.1	In Copenhagen
AR0215.1	In Copenhagen
AR0216.1	In Copenhagen
AR0217.1	In Copenhagen
AR0218.1	In Copenhagen
AR0219.1	In Copenhagen
AR0220.1	In Copenhagen
AR0221.1	In Copenhagen
AR0222.1	In Copenhagen
AR0223.1	In Copenhagen
AR0225.1	In Copenhagen
AR0226.1	In Copenhagen
AR0227.1	In Copenhagen
AR0228.1	In Copenhagen
AR0229.1	In Copenhagen
AR0230.1	In Copenhagen
AR0231.1	In Copenhagen
AR0232.1	In Copenhagen
AR0234.1	In Copenhagen
AR0235.1	In Copenhagen
AR0237.1	In Copenhagen
AR0238.1	In Copenhagen
AR0239.1	In Copenhagen
AR0240.1	In Copenhagen
AR0241.1	In Copenhagen
AR0242.1	In Copenhagen
AR0243.1	In Copenhagen
AR0244.1	In Copenhagen
AR0245.1	In Copenhagen
AR0246.1	In Copenhagen
AR0247.1	In Copenhagen
AR0248.1	In Copenhagen
AR0249.1	In Copenhagen
AR0250.1	In Copenhagen
AR0251.1	In Copenhagen
AR0252.1	In Copenhagen
AR0253.1	In Copenhagen
AR0254.1	In Copenhagen
AR0255.1	In Copenhagen
AR0257.1	In Copenhagen
AR0258.1	In Copenhagen
AR0259.1	In Copenhagen
AR0260.1	In Copenhagen
AR0261.1	In Copenhagen
AR0262.1	In Copenhagen
AR0263.1	In Copenhagen
AR0264.1	In Copenhagen
AR0265.1	In Copenhagen
AR0266.1	In Copenhagen
AR0267.1	In Copenhagen
AR0268.1	In Copenhagen
AR0269.1	In Copenhagen
AR0270.1	In Copenhagen
AR0271.1	In Copenhagen
AR0272.1	In Copenhagen
AR0273.1	In Copenhagen
AR0274.1	In Copenhagen
AR0275.1	In Copenhagen
AR0277.1	In Copenhagen
AR0280.1	In Copenhagen
AR0281.1	In Copenhagen
AR0283.1	In Copenhagen
AR0284.1	In Copenhagen
AR0291.1	In Copenhagen
AR0294.1	In Copenhagen
AR0295.1	In Copenhagen
AR0296.1	In Copenhagen
AR0299.1	In Copenhagen
AR0300.1	In Copenhagen
AR0301.1	In Copenhagen
AR0303.1	In Copenhagen
AR0304.1	In Copenhagen
AR0305.1	In Copenhagen
AR0308.1	In Copenhagen
AR0312.1	In Copenhagen
AR0313.1	In Copenhagen
AR0314.1	In Copenhagen
AR0315.1	In Copenhagen
AR0321.1	In Copenhagen
AR0322.1	In Copenhagen
AR0323.1	In Copenhagen
AR0334.1	In Copenhagen
AR0335.1	In Copenhagen
AR0338.1	In Copenhagen
AR0339.1	In Copenhagen
AR0340.1	In Copenhagen
AR0341.1	In Copenhagen
AR0342.1	In Copenhagen
AR0344.1	In Copenhagen
AR0349.1	In Copenhagen
